Cruise_Name,Station,TimePeriod,Latitude,Longitude,Ich_Haul_Fctr,Cruise_Name,Station,100000000,121050300,121050304,121060000,121060101,121060103,143130803,143150501,148010105,148010106,148010107,148010201,148010301,148010401,148010501,148010701,148041401,148041403,170024806,170025015,170070201,170070202,170080101,170200907,170201801,170201902,170203701,170280101,170282601,170340102,170400203,170440100,170440604,170460402,170511100,170570503,170570505,183010301,183010605,183012301,183012403,183020201,183020301,183021301,183030101,183050711,183050712
AL0408,49,aug,40.4417,-71.2467,3.49,AL0408,49,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0408,74,aug,42.025,-67.9867,6.2,AL0408,74,,,,,,,,,,,3,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0408,78,aug,40.7717,-68.0483,5.6,AL0408,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0408,84,aug,40.9317,-66.8517,4.6,AL0408,84,2,,,,,,,,,,20.16,,,,,,,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0408,89,aug,41.645,-66.5133,5.3,AL0408,89,3.5,,,,,,,,,,4.16,,,,,,,28,,,,,,,,,,,,,,,,,9.33,,,,,,,,,1,,,
AL0408,101,aug,42.4817,-66.8467,9.06,AL0408,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0408,105,aug,43.8067,-67.0117,5.9,AL0408,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0408,108,aug,44.3117,-67.7067,5.58,AL0408,108,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0408,114,aug,43.3133,-68.1167,3.8,AL0408,114,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0408,121,aug,43.2633,-69.9783,5.3,AL0408,121,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0410,6,nov,39.23,-73.5083,3.83,AL0410,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0410,16,nov,37.5167,-75.04,2.3,AL0410,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0410,24,nov,36.1433,-75.6383,2.1,AL0410,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0410,28,nov,37.31,-75.4867,1.7,AL0410,28,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,
AL0410,41,nov,40.5167,-71.345,3.7,AL0410,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0410,44,nov,39.94,-69.9733,3.3,AL0410,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0410,50,nov,40.935,-69.65,1.9,AL0410,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0410,53,nov,40.815,-71.875,1.8,AL0410,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
AL0410,57,nov,40.6883,-72.8783,0.8,AL0410,57,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
AL0410,64,nov,41.3167,-68.74,4,AL0410,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0410,68,nov,40.395,-68.3517,4.3,AL0410,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0410,77,nov,41.9733,-68.085,4.32,AL0410,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0410,82,nov,40.7733,-67.125,5.1,AL0410,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0410,87,nov,42.1433,-67.2033,4.57,AL0410,87,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0410,91,nov,42.5067,-69.8167,4.11,AL0410,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0410,108,nov,43.2767,-68.2717,5.67,AL0410,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0410,111,nov,42.8917,-67.89,3.42,AL0410,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0410,114,nov,42.59,-66.9217,6.5,AL0410,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0410,115,nov,42.7317,-66.42,3.4,AL0410,115,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0505,1,may,39.645,-73.3767,2.49,AL0505,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0505,16,may,36.1867,-75.4767,1.23,AL0505,16,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
AL0505,19,may,36.645,-75.2467,1.44,AL0505,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
AL0505,24,may,37.8567,-74.5817,2.76,AL0505,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,
AL0505,29,may,39.02,-72.8167,6.1,AL0505,29,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0505,31,may,39.8483,-72.515,3.02,AL0505,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0505,34,may,40.185,-73.4183,2.37,AL0505,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
AL0505,39,may,40.5617,-72.1133,2.96,AL0505,39,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
AL0505,43,may,40.3483,-71.2817,4.48,AL0505,43,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
AL0505,49,may,40.48,-69.6483,3.72,AL0505,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,
AL0505,69,may,40.98,-68.11,3.08,AL0505,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,
AL0505,70,may,40.9,-67.6467,3.8,AL0505,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0505,76,may,42.0617,-67.9517,4.14,AL0505,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0505,81,may,42.0633,-67.215,2.95,AL0505,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,1,,
AL0505,87,may,41.15,-67.3483,4.04,AL0505,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,6,2,,,
AL0505,101,may,42.8117,-66.1467,3,AL0505,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0505,106,may,43.2283,-68.0133,5.98,AL0505,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
AL0505,111,may,43.9367,-67.3817,5.34,AL0505,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0505,115,may,43.9467,-68.3983,5.26,AL0505,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0505,118,may,43.4633,-69.3517,4.4,AL0505,118,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0507,7,aug,40.105,-72.1433,4.15,AL0507,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
AL0507,9,aug,39.565,-72.635,5.14,AL0507,9,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,,,,,
AL0507,14,aug,40.4017,-73.1133,1.33,AL0507,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0507,24,aug,40.48,-70.4067,4.52,AL0507,24,1,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,,5,,,,,,,
AL0507,27,aug,39.975,-69.2433,5.97,AL0507,27,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0507,34,aug,41.1883,-67.6817,1.36,AL0507,34,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0507,39,aug,40.5267,-67.4133,3.38,AL0507,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
AL0507,46,aug,41.395,-67.1783,2.32,AL0507,46,4,,,,,,,,,,4,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
AL0507,51,aug,41.9367,-66.4917,3.1,AL0507,51,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
AL0507,57,aug,42.1867,-67.3417,8.36,AL0507,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0507,66,aug,42.4367,-69.12,3.17,AL0507,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0507,70,aug,42.5667,-67.1817,5.95,AL0507,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0507,73,aug,42.4383,-65.6783,4.15,AL0507,73,3,,,,,,,,,,26,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,
AL0507,78,aug,42.7733,-68.5283,4.63,AL0507,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0507,87,aug,44.3617,-66.6133,4.22,AL0507,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0509,4,nov,39.1517,-73.0617,5.34,AL0509,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0509,12,nov,36.6967,-75.04,1.37,AL0509,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0509,16,nov,35.8383,-75.1833,2.42,AL0509,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL0509,20,nov,37.44,-75.2883,1.46,AL0509,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
